RowID	First_name	Last_name	Email	Age	AgeGroup	Gender	Date	Month	Cost	Quantity	Product	Category	Colour	OnSale	PurchasedVia	City	Stars	Happiness	Recommendation
1	Elizabeth	NA	NA	41	35-44	Female	2025-01-25	January	23.78	1	Boots	Footwear	Brown	Yes	Website	Brighton	5	2	NA
2	Debra	NA	NA	34	25-34	Male	2025-02-01	February	90.72	1	Jeans	Bottoms	Brown	No	In-store	Cardiff	5	5	NA
3	Gary	NA	NA	36	35-44	Female	2025-07-13	July	44.3	1	Hat	Accessories	Black	No	Website	London	4	4	Yes
4	Michael	NA	NA	26	25-34	Female	2025-09-17	September	66.67	1	Tshirt	Tops	Pink	Yes	In-store	London	4	3	NA
5	Jake	NA	NA	30	25-34	Female	2025-06-16	June	85.71	3	Jeans	Bottoms	Grey	No	In-store	Birmingham	4	3	Yes
6	Simon	NA	NA	20	18-24	Female	2025-08-07	August	78.8	1	Tshirt	Tops	Green	No	In-store	Birmingham	5	3	NA
7	Alison	NA	NA	44	35-44	Female	2025-04-25	April	86.67	1	Shirt	Tops	Brown	No	In-store	Cardiff	5	3	No
8	Jonathan	NA	NA	37	35-44	Female	2025-10-22	October	70.8	2	Jeans	Bottoms	Blue	No	Website	Bath	4	4	NA
9	Joseph	NA	NA	18	18-24	Female	2025-08-05	August	82.92	1	Boots	Footwear	Red	Yes	In-store	Brighton	5	4	Yes
10	Anna	NA	NA	53	45-54	Male	2025-09-25	September	68.31	1	Joggers	Bottoms	Grey	No	Website	Cardiff	5	4	NA
11	Lindsey	NA	NA	21	18-24	Genderfluid	2025-11-09	November	89.4	2	Polo	Tops	Purple	Yes	Website	Brighton	3	3	NA
12	Emily	NA	NA	25	25-34	Genderfluid	2025-05-12	May	45.0	1	Tshirt	Tops	Black	No	In-store	Brighton	5	4	NA
13	Luke	NA	NA	35	35-44	Female	2025-09-26	September	82.37	1	Tshirt	Tops	Orange	No	Website	London	3	4	NA
14	Sylvia	NA	NA	41	35-44	Female	2025-12-16	December	53.64	2	Jacket	Outerwear	White	No	In-store	Brighton	5	4	Yes
15	Arthur	NA	NA	18	18-24	Female	2025-08-30	August	84.58	1	Boots	Footwear	White	No	In-store	Liverpool	5	5	NA
16	Hannah	NA	NA	26	25-34	Male	2025-02-27	February	24.09	1	Shirt	Tops	Black	No	In-store	Birmingham	5	5	NA
17	Jordan	NA	NA	19	18-24	Female	2025-03-06	March	92.4	1	Jacket	Outerwear	Black	Yes	Website	Liverpool	5	5	No
18	Lydia	NA	NA	25	25-34	Non-binary	2025-11-04	November	39.64	1	Jewellery	Accessories	Beige	No	In-store	London	5	4	Yes
